record_ID,units_sold
212645,19.0
212646,23.0
212647,30.0
212648,31.0
212649,22.0
212653,28.0
212654,43.0
212657,17.0
212658,12.0
212661,180.0
212662,91.0
212663,47.0
212666,71.0
212667,90.0
212668,110.0
212671,49.0
212672,107.0
212673,67.0
212674,373.0
212675,20.0
212676,12.0
212677,81.0
212678,58.0
212679,35.0
212681,47.0
212682,92.0
212683,25.0
212686,93.0
212687,84.0
212688,25.0
212689,4.0
212691,20.0
212692,54.0
212693,35.0
212694,44.0
212695,43.0
212696,39.0
212697,86.0
212698,33.0
212699,180.0
212700,21.0
212701,16.0
212702,42.0
212703,52.0
212704,31.0
212705,24.0
212706,35.0
212707,44.0
212709,6.0
212710,13.0
212711,37.0
212712,36.0
212713,26.0
212716,25.0
212717,31.0
212718,17.0
212719,25.0
212721,75.0
212722,25.0
212723,136.0
212724,13.0
212725,9.0
212727,31.0
212728,58.0
212729,32.0
212731,34.0
212732,43.0
212734,5.0
212735,6.0
212736,10.0
212737,252.0
212738,224.0
212739,72.0
212740,20.0
212742,79.0
212743,115.0
212744,216.0
212748,237.0
212749,105.0
212750,519.0
212751,41.0
212752,24.0
212754,121.0
212755,98.0
212756,84.0
212757,47.0
212758,71.0
212759,123.0
212760,9.0
212761,84.0
212763,12.0
212764,96.0
212765,89.0
212767,43.0
212768,53.0
212769,60.0
212772,37.0
212773,59.0
212774,31.0
212775,191.0
212776,10.0
212777,8.0
212778,57.0
212779,30.0
212782,50.0
212783,65.0
212787,202.0
212788,108.0
212789,63.0
212790,16.0
212792,88.0
212793,102.0
212794,117.0
212796,144.0
212797,121.0
212798,427.0
212799,27.0
212800,11.0
212802,90.0
212803,68.0
212805,53.0
212806,69.0
212807,100.0
212809,36.0
212812,35.0
212816,15.0
212817,27.0
212818,36.0
212819,23.0
212820,21.0
212821,35.0
212822,56.0
212823,25.0
212824,134.0
212825,16.0
212826,10.0
212828,41.0
212829,47.0
212830,29.0
212831,31.0
212832,34.0
212833,39.0
212834,29.0
212835,26.0
212837,7.0
212838,20.0
212839,28.0
212840,24.0
212843,55.0
212844,16.0
212845,83.0
212846,10.0
212849,41.0
212850,24.0
212853,28.0
212856,38.0
212857,22.0
212860,11.0
212861,46.0
212862,50.0
212863,11.0
212866,99.0
212867,40.0
212868,226.0
212869,29.0
212870,29.0
212872,44.0
212873,65.0
212874,28.0
212875,28.0
212876,38.0
212877,39.0
212879,17.0
212880,29.0
212881,30.0
212884,16.0
212885,30.0
212886,21.0
212888,19.0
212889,38.0
212890,20.0
212891,72.0
212892,15.0
212893,30.0
212896,30.0
212899,4.0
212900,13.0
212901,22.0
212902,16.0
212903,12.0
212905,35.0
212906,12.0
212907,53.0
212910,14.0
212911,15.0
212914,13.0
212915,117.0
212916,69.0
212917,36.0
212919,41.0
212920,58.0
212921,81.0
212924,70.0
212925,44.0
212926,298.0
212927,10.0
212929,75.0
212930,58.0
212931,13.0
212932,63.0
212933,72.0
212934,83.0
212935,12.0
212936,60.0
212937,67.0
212938,15.0
212940,42.0
212941,49.0
212942,35.0
212946,49.0
212947,56.0
212948,141.0
212949,43.0
212950,50.0
212951,28.0
212952,40.0
212954,55.0
212955,26.0
212956,26.0
212959,15.0
212960,22.0
212964,69.0
212965,26.0
212966,185.0
212967,20.0
212968,15.0
212969,31.0
212970,44.0
212971,22.0
212973,25.0
212974,30.0
212977,48.0
212978,55.0
212979,25.0
212981,20.0
212982,41.0
212983,41.0
212984,44.0
212985,48.0
212986,48.0
212987,110.0
212988,33.0
212989,256.0
212990,25.0
212991,19.0
212993,54.0
212994,63.0
212995,35.0
212996,48.0
212997,41.0
212998,71.0
212999,6.0
213001,14.0
213002,14.0
213006,16.0
213007,22.0
213011,25.0
213012,12.0
213013,68.0
213016,20.0
213017,12.0
213020,22.0
213021,160.0
213022,107.0
213023,69.0
213025,46.0
213026,49.0
213027,83.0
213031,107.0
213032,51.0
213033,303.0
213034,25.0
213035,18.0
213036,71.0
213037,62.0
213038,54.0
213039,19.0
213040,31.0
213041,71.0
213043,22.0
213048,128.0
213049,99.0
213050,43.0
213053,63.0
213054,71.0
213055,100.0
213056,52.0
213059,68.0
213060,51.0
213061,275.0
213064,72.0
213065,41.0
213066,42.0
213068,67.0
213069,87.0
213070,31.0
213072,65.0
213073,57.0
213074,30.0
213076,19.0
213077,39.0
213078,56.0
213079,28.0
213080,23.0
213081,28.0
213082,90.0
213083,27.0
213084,203.0
213085,30.0
213086,25.0
213087,43.0
213088,62.0
213089,28.0
213090,34.0
213091,48.0
213092,62.0
213093,5.0
213094,11.0
213096,16.0
213097,25.0
213098,21.0
213100,9.0
213101,20.0
213102,34.0
213103,24.0
213105,39.0
213106,46.0
213107,18.0
213108,93.0
213109,28.0
213110,31.0
213111,21.0
213113,40.0
213114,43.0
213115,6.0
213123,34.0
213127,78.0
213128,43.0
213129,27.0
213131,29.0
213132,42.0
213133,49.0
213135,57.0
213136,26.0
213137,164.0
213138,13.0
213140,37.0
213141,33.0
213142,41.0
213145,47.0
213147,9.0
213148,59.0
213149,27.0
213150,9.0
213151,23.0
213152,29.0
213153,9.0
213154,60.0
213155,22.0
213156,130.0
213157,16.0
213158,14.0
213159,34.0
213160,36.0
213161,27.0
213162,21.0
213163,27.0
213164,36.0
213167,10.0
213168,22.0
213169,194.0
213170,162.0
213171,94.0
213174,64.0
213175,84.0
213176,102.0
213179,35.0
213180,140.0
213181,64.0
213182,347.0
213183,35.0
213187,71.0
213188,62.0
213189,81.0
213191,42.0
213192,90.0
213194,24.0
213195,9.0
213197,11.0
213199,9.0
213200,26.0
213202,33.0
213204,57.0
213205,26.0
213206,93.0
213207,23.0
213208,73.0
213209,36.0
213215,87.0
213216,75.0
213217,43.0
213219,58.0
213220,54.0
213221,66.0
213225,64.0
213226,35.0
213227,245.0
213230,46.0
213231,36.0
213233,33.0
213235,70.0
213236,11.0
213238,117.0
213239,75.0
213240,40.0
213241,41.0
213242,46.0
213243,68.0
213245,76.0
213246,36.0
213247,284.0
213248,27.0
213249,15.0
213250,73.0
213251,46.0
213252,17.0
213254,36.0
213255,68.0
213256,5.0
213257,25.0
213260,10.0
213265,36.0
213268,12.0
213269,52.0
213270,49.0
213273,31.0
213275,38.0
213276,20.0
213278,8.0
213279,22.0
213280,62.0
213281,37.0
213282,16.0
213283,26.0
213285,113.0
213286,40.0
213287,217.0
213288,27.0
213289,21.0
213292,44.0
213293,42.0
213294,21.0
213296,46.0
213297,47.0
213301,23.0
213303,8.0
213304,18.0
213305,42.0
213306,30.0
213308,57.0
213309,54.0
213310,45.0
213311,26.0
213312,127.0
213314,9.0
213315,33.0
213316,29.0
213317,15.0
213320,189.0
213321,114.0
213322,30.0
213325,59.0
213326,76.0
213327,105.0
213330,38.0
213331,103.0
213332,47.0
213333,197.0
213334,13.0
213335,5.0
213336,75.0
213337,44.0
213338,17.0
213340,69.0
213341,74.0
213343,11.0
213346,240.0
213347,27.0
213348,8.0
213351,8.0
213352,39.0
213353,26.0
213354,21.0
213355,32.0
213356,34.0
213357,42.0
213358,22.0
213359,160.0
213360,9.0
213361,8.0
213363,50.0
213364,25.0
213365,31.0
213366,34.0
213367,39.0
213369,65.0
213370,57.0
213371,17.0
213372,16.0
213373,26.0
213374,48.0
213375,21.0
213376,22.0
213377,27.0
213378,69.0
213379,21.0
213380,154.0
213381,14.0
213382,14.0
213383,38.0
213384,51.0
213385,33.0
213387,34.0
213388,40.0
213390,10.0
213391,28.0
213392,29.0
213394,19.0
213395,45.0
213396,28.0
213399,63.0
213400,22.0
213401,135.0
213403,23.0
213404,26.0
213408,16.0
213409,8.0
213410,6.0
213411,11.0
213412,51.0
213413,42.0
213414,18.0
213415,17.0
213416,28.0
213417,33.0
213418,16.0
213419,13.0
213420,12.0
213421,71.0
213422,16.0
213423,153.0
213425,13.0
213426,30.0
213427,28.0
213428,17.0
213431,35.0
213432,7.0
213434,11.0
213435,68.0
213436,56.0
213437,36.0
213439,24.0
213440,41.0
213441,50.0
213444,59.0
213445,39.0
213446,28.0
213447,143.0
213448,42.0
213449,26.0
213454,59.0
213455,37.0
213456,28.0
213457,44.0
213458,41.0
213461,34.0
213462,30.0
213463,157.0
213466,35.0
213467,17.0
213471,13.0
213472,77.0
213473,40.0
213474,21.0
213476,32.0
213477,52.0
213478,50.0
213479,77.0
213480,45.0
213481,193.0
213484,35.0
213485,60.0
213486,17.0
213488,25.0
213489,37.0
213490,5.0
213491,24.0
213494,23.0
213495,16.0
213496,11.0
213497,23.0
213502,37.0
213503,27.0
213505,20.0
213506,40.0
213507,20.0
213510,34.0
213511,26.0
213512,7.0
213514,16.0
213516,46.0
213517,17.0
213518,102.0
213519,15.0
213520,11.0
213521,28.0
213522,28.0
213523,13.0
213526,21.0
213528,8.0
213530,36.0
213531,33.0
213532,21.0
213533,6.0
213535,15.0
213536,22.0
213537,33.0
213538,27.0
213540,29.0
213541,64.0
213542,24.0
213543,143.0
213545,7.0
213546,34.0
213547,51.0
213548,27.0
213550,29.0
213551,36.0
213554,16.0
213559,29.0
213560,20.0
213561,34.0
213562,40.0
213563,34.0
213564,49.0
213565,18.0
213566,121.0
213567,35.0
213568,31.0
213572,26.0
213573,22.0
213574,19.0
213575,6.0
213576,6.0
213577,23.0
213578,16.0
213579,24.0
213580,29.0
213581,65.0
213582,18.0
213583,117.0
213584,12.0
213587,50.0
213588,33.0
213591,41.0
213593,50.0
213594,41.0
213597,19.0
213598,23.0
213599,30.0
213600,18.0
213601,19.0
213602,28.0
213603,68.0
213604,27.0
213605,164.0
213606,24.0
213607,17.0
213608,41.0
213609,34.0
213610,21.0
213612,25.0
213613,36.0
213614,19.0
213615,163.0
213616,136.0
213617,42.0
213619,61.0
213620,74.0
213621,92.0
213624,37.0
213625,87.0
213626,63.0
213627,284.0
213630,72.0
213631,43.0
213635,79.0
213639,30.0
213640,26.0
213641,9.0
213643,16.0
213644,27.0
213645,23.0
213648,58.0
213649,21.0
213650,140.0
213651,23.0
213652,18.0
213653,38.0
213654,31.0
213658,29.0
213660,12.0
213661,14.0
213663,9.0
213664,25.0
213665,47.0
213666,28.0
213669,75.0
213670,33.0
213671,146.0
213673,30.0
213674,82.0
213675,36.0
213678,48.0
213681,40.0
213682,35.0
213683,19.0
213685,19.0
213686,46.0
213687,43.0
213688,49.0
213689,50.0
213690,39.0
213691,75.0
213692,33.0
213693,181.0
213694,15.0
213696,34.0
213697,28.0
213698,14.0
213699,39.0
213700,45.0
213701,43.0
213703,61.0
213704,50.0
213707,28.0
213708,40.0
213709,41.0
213711,40.0
213712,28.0
213713,144.0
213716,40.0
213720,43.0
213723,103.0
213724,82.0
213725,19.0
213727,48.0
213728,53.0
213729,55.0
213733,64.0
213734,50.0
